feature,PC,abs_loading,family
Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,PC9,0.11382574047288248,ZeroCross
Hips_RightUpLeg_RightLeg_Angle_CV,PC9,0.1881598132820617,CV
Hips_RightUpLeg_RightLeg_Angle_STD,PC9,0.12065920743784252,STD
Hips_RightUpLeg_RightLeg_Angle_ZeroCross,PC9,0.008999210616084106,ZeroCross
Hips_Spine1_Spine3_Angle_CV,PC9,0.19208728219005852,CV
Hips_Spine1_Spine3_Angle_STD,PC9,0.21408891657363804,STD
Hips_Spine1_Spine3_Angle_ZeroCross,PC9,0.07064070684706689,ZeroCross
LeftShoulder_LeftArm_LeftForeArm_Angle_CV,PC9,0.27070913531231555,CV
LeftShoulder_LeftArm_LeftForeArm_Angle_STD,PC9,0.1845419003237184,STD
LeftShoulder_LeftArm_LeftForeArm_Angle_ZeroCross,PC9,0.08507349467933702,ZeroCross
LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,PC9,0.20139024971308572,CV
LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,PC9,0.03865163349548081,STD
LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,PC9,0.3647750902237228,ZeroCross
RightShoulder_RightArm_RightForeArm_Angle_CV,PC9,0.03690942275180654,CV
RightShoulder_RightArm_RightForeArm_Angle_STD,PC9,0.42787469724516985,STD
RightShoulder_RightArm_RightForeArm_Angle_ZeroCross,PC9,0.02185408844281636,ZeroCross
RightUpLeg_RightLeg_RightFoot_Angle_CV,PC9,0.034203279582259966,CV
RightUpLeg_RightLeg_RightFoot_Angle_STD,PC9,0.15020541979335958,STD
RightUpLeg_RightLeg_RightFoot_Angle_ZeroCross,PC9,0.07222889966053382,ZeroCross
Spine1_Spine3_Head_Angle_CV,PC9,0.3396909525753047,CV
Spine1_Spine3_Head_Angle_STD,PC9,0.30329947134175944,STD
Spine1_Spine3_Head_Angle_ZeroCross,PC9,0.08389549760191067,ZeroCross
Spine3_LeftShoulder_LeftArm_Angle_CV,PC9,0.15833810811486582,CV
Spine3_LeftShoulder_LeftArm_Angle_STD,PC9,0.030485383428694432,STD
Spine3_LeftShoulder_LeftArm_Angle_ZeroCross,PC9,0.039092184908519026,ZeroCross
Spine3_RightShoulder_RightArm_Angle_CV,PC9,0.019030160919258177,CV
Spine3_RightShoulder_RightArm_Angle_STD,PC9,0.2428530163831499,STD
Spine3_RightShoulder_RightArm_Angle_ZeroCross,PC9,0.07622223588159903,ZeroCross
Hips_LeftUpLeg_LeftLeg_Angle_CV,PC10,0.06745739584783049,CV
Hips_LeftUpLeg_LeftLeg_Angle_STD,PC10,0.142377077773928,STD
Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,PC10,0.06026238519970699,ZeroCross
Hips_RightUpLeg_RightLeg_Angle_CV,PC10,0.14012497192709586,CV
Hips_RightUpLeg_RightLeg_Angle_STD,PC10,0.1555720267177556,STD
Hips_RightUpLeg_RightLeg_Angle_ZeroCross,PC10,0.06135556020686683,ZeroCross
Hips_Spine1_Spine3_Angle_CV,PC10,0.1802686511363031,CV
Hips_Spine1_Spine3_Angle_STD,PC10,0.2187028936733034,STD
Hips_Spine1_Spine3_Angle_ZeroCross,PC10,0.47834252439787683,ZeroCross
LeftShoulder_LeftArm_LeftForeArm_Angle_CV,PC10,0.332355710014437,CV
LeftShoulder_LeftArm_LeftForeArm_Angle_STD,PC10,0.05882080422108345,STD
LeftShoulder_LeftArm_LeftForeArm_Angle_ZeroCross,PC10,0.20679547116175717,ZeroCross
LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,PC10,0.11547279164353584,CV
LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,PC10,0.21265263412057,STD
LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,PC10,0.049256873910744126,ZeroCross
RightShoulder_RightArm_RightForeArm_Angle_CV,PC10,0.24390066009547837,CV
RightShoulder_RightArm_RightForeArm_Angle_STD,PC10,0.07632185397920808,STD
RightShoulder_RightArm_RightForeArm_Angle_ZeroCross,PC10,0.1282319108798864,ZeroCross
RightUpLeg_RightLeg_RightFoot_Angle_CV,PC10,0.3597167167030415,CV
RightUpLeg_RightLeg_RightFoot_Angle_STD,PC10,0.09828881109304374,STD
RightUpLeg_RightLeg_RightFoot_Angle_ZeroCross,PC10,0.012337220436955725,ZeroCross
Spine1_Spine3_Head_Angle_CV,PC10,0.22008188667381529,CV
Spine1_Spine3_Head_Angle_STD,PC10,0.04089722956229895,STD
Spine1_Spine3_Head_Angle_ZeroCross,PC10,0.2275268546012927,ZeroCross
Spine3_LeftShoulder_LeftArm_Angle_CV,PC10,0.1255900354306841,CV
Spine3_LeftShoulder_LeftArm_Angle_STD,PC10,0.0281532620014544,STD
Spine3_LeftShoulder_LeftArm_Angle_ZeroCross,PC10,0.15657865599153567,ZeroCross
Spine3_RightShoulder_RightArm_Angle_CV,PC10,0.08371749458282791,CV
Spine3_RightShoulder_RightArm_Angle_STD,PC10,0.012669477080976169,STD
Spine3_RightShoulder_RightArm_Angle_ZeroCross,PC10,0.16138697124361243,ZeroCross
Hips_LeftUpLeg_LeftLeg_Angle_CV,PC11,0.10728293763788747,CV
Hips_LeftUpLeg_LeftLeg_Angle_STD,PC11,0.0701103703460508,STD
Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,PC11,0.12904839250553196,ZeroCross
Hips_RightUpLeg_RightLeg_Angle_CV,PC11,0.12848188006752875,CV
Hips_RightUpLeg_RightLeg_Angle_STD,PC11,0.26529573737424905,STD
Hips_RightUpLeg_RightLeg_Angle_ZeroCross,PC11,0.07757833705181949,ZeroCross
Hips_Spine1_Spine3_Angle_CV,PC11,0.18710801450233705,CV
Hips_Spine1_Spine3_Angle_STD,PC11,0.28535008373909576,STD
Hips_Spine1_Spine3_Angle_ZeroCross,PC11,0.042909966804932545,ZeroCross
LeftShoulder_LeftArm_LeftForeArm_Angle_CV,PC11,0.10071207223131531,CV
LeftShoulder_LeftArm_LeftForeArm_Angle_STD,PC11,0.12349046163522584,STD
LeftShoulder_LeftArm_LeftForeArm_Angle_ZeroCross,PC11,0.2043049787899842,ZeroCross
LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,PC11,0.14811344191696552,CV
LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,PC11,0.1354019699317378,STD
LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,PC11,0.1823298260758986,ZeroCross
